total_box,budget,release_coverage,pindex
11642946,0,0.043781202,3179180
12236500,0,0.022546618,3179196
35647,0,0.000126065,3179238
8601,0,7.50E-05,3179546
2420917,0,0.02914358,3179554
24611975,7.00E+06,0.024082607,3179599
56573,0,0.000176857,3179742
3346,0,5.15E-05,3180186
155064265,8.50E+07,0.093645655,3180284
209837675,1.25E+08,0.095831228,3180389
17131,0,5.50E-05,3180418
1005539,0,0.008356111,3180426
2791350,0,0.056297828,3180431
10524,0,3.75E-05,3180552
878960,0,0.001255296,3180562
16265,0,2.81E-05,3180588
23240020,2.40E+07,0.0625,3180589
48116322,0,0.0753122,3180656
11204,0,5.21E-05,3180727
41457,750000,2.52E-05,3180742
3563162,0,0.0367785,3180750
156645693,0,0.061775211,3180829
12046526,0,0.049252613,3180836
7839327,0,0.074799714,3180906
3418141,0,0.025091704,3181348
89325780,0,0.069483339,3181415
76594107,0,0.077146859,3181417
6960,0,0,3181629
28598376,0,0.078675663,3181665
19781,0,5.31E-05,3182183
126714,0,0.000728882,3182266
20831000,0,0.054320406,3182414
10680275,18500000,0.03307188,3182472
233824,0,0.000195114,3182571
47148,0,4.36E-05,3182670
13258249,4.00E+07,0.071452589,3182692
6995302,0,0.029228128,3182704
56131,0,0.003873912,3182786
293274,0,0.001688036,3182806
3511074,0,0.03100995,3182807
1538899,0,0.002602863,3182951
514775,0,0.000412155,3183005
3838793,0,0.0367504,3183065
45488,0,3.97E-05,3183078
101170,0,0.000101955,3183116
5898393,0,0.026292726,3183319
3124440,0,0.029228751,3183372
926954,0,0,3184283
57682904,2.40E+07,0.058943595,3184594
24650296,0,0.065955422,3185108
70136369,0,0.062867246,3185190
299171,0,0.000901256,3185524
618847,0,0,3186034
42071069,3.00E+07,0.086897686,3186039
121304,0,5.63E-05,3186338
64431625,0,0.047990925,3186476
9381260,0,0.050839479,3186612
85410,0,0.000663341,3186619
3328240,0,0.000834882,3186913
11686940,0,0.051650321,3186968
166167230,4.00E+07,0.091361296,3186975
229041,0,0.013365591,3187017
37030102,6.30E+07,0.052947672,3187108
99938,0,2.75E-05,3187279
23091010,0,0.058929982,3187349
30606,0,5.15E-05,3187463
10514,3.00E+05,0.000137231,3187603
35688,0,7.73E-05,3187618
2850357,2.00E+06,0.00653018,3188003
17341,0,2.65E-05,3188130
34411,0,0.000124925,3188611
202531,0,0.000277918,3188626
28590665,0,0.063417149,3188891
53331147,2.30E+07,0.071112455,3189011
46961214,0,0.079495091,3189013
54098051,2.50E+07,0.074970715,3189014
42587643,4.00E+07,0.079711976,3189015
32131830,1.37E+08,0.074607109,3189083
124561,0,9.99E-05,3189315
1173643,1.30E+07,0.011427828,3189488
35555,0,0.00079988,3189590
57297,0,0.000334758,3189636
6783,0,2.55E-05,3189664
486295561,0,0.107158859,3189703
120980,0,0.000275303,3189750
51804714,0,0.055031749,3189765
9736,0,0.000140252,3189815
55518,0,0.000176857,3189864
380843261,9.40E+07,0.096072931,3189962
51680613,2.50E+07,0.038726499,3189968
27466,0,8.78E-05,3189975
1514782,0,0.002423546,3190124
52868,0,0.000128886,3190434
14760451,0,0.084236164,3190866
16228448,0,0.073748627,3190911
19885552,0,0.055997815,3190992
4636169,0,0.047268606,3191109
17231291,2.00E+07,0.04616012,3191219
5661,0,0.000103109,3191221
13932383,0,0.074264061,3191297
785482,0,0.001223913,3191305
33456317,5.00E+05,0.023304321,3191372
8165212,1.90E+07,0.064553585,3191424
11949484,0,0.052940839,3191442
48751189,0,0.073929455,3191443
9055921,0,0.062577192,3191826
750805,0,0.006447676,3191873
26491793,0,0.063166392,3192001
37600435,0,0.077613763,3192042
42953,3.00E+05,0.000188294,3192134
87264,3.00E+05,5.61E-05,3192158
1014071,0,0.001465387,3192271
214864,0,0.000859039,3192326
37931869,0,0.056986146,3192371
26799,0,2.81E-05,3192803
969205,0,0.000573218,3193464
5788,0,2.50E-05,3193468
15587,0,0.000249963,3193703
9890,0,2.58E-05,3193864
42393,0,0,3194004
33602376,9.00E+07,0.061824808,3194161
778,0,2.58E-05,3194185
123301,0,0.000104126,3194409
4442377,0,0.028274193,3194585
6488114,0,0.036743092,3194609
61489265,0,0.062274292,3194854
93370,0,0.000392707,3194904
4488529,0,0.013007999,3194923
17193231,0,0.070767885,3194969
9709451,0,0.046827441,3195098
50612888,0,0.063129148,3195255
35150960,0,0.065965708,3195259
5418,0,2.50E-05,3195329
21000147,1.50E+07,0.07489262,3195368
93772375,3.10E+07,0.066512027,3195565
14587732,3.50E+07,0.060432647,3195699
18564613,0,0.048403052,3195704
21009180,4.50E+07,0.071469741,3195706
89707299,0,0.090851199,3195774
1755212,1.40E+07,0.011184211,3195904
20080020,0,0.081362887,3195920
263192,0,0.00025141,3195960
14702438,0,0.032592244,3196010
20031,0,7.49E-05,3196679
142569,0,0.000283257,3196741
61568,0,0.000124981,3196881
15151736,0,0.048282552,3196939
92977226,0,0.084073435,3197025
3987768,0,0.043098804,3197188
64665672,1.49E+08,0.096498764,3197270
25143818,0,0.047122532,3197393
13816982,2.50E+07,0.0183602,3197454
13090630,6.00E+07,0.052922036,3197519
5043,0,5.05E-05,3197809
645418,0,0.001746184,3197988
53862963,50100000,0.083062541,3198010
6132924,0,0.05560403,3198346
52155,0,0.000100905,3198461
112679,0,0.000479048,3198471
13961370,0,0.054699009,3198476
4417674,0,0.003991348,3198987
836156,0,0.002761597,3199031
70231041,7.00E+07,0.080470722,3199086
6033999,0,0.011041986,3199125
29481428,0,0.053381453,3199206
51802742,2.40E+07,0.08981809,3199512
1251749,0,0.002697796,3199667
770132,0,0.000392653,3199712
41628,0,0.000861976,3199802
37729698,2.10E+07,0.05382085,3199849
12396,0,7.56E-05,3199888
17514553,0,0.041463098,3200104
35188640,8.00E+07,0.078990601,3200191
11146270,3.00E+07,0.064153594,3200203
191051,0,0.00142678,3200363
31642995,3.50E+07,0.061321199,3200393
312751,0,0.000386658,3200485
17860280,4.00E+07,0.05308657,3200499
80141,0,0.000945885,3200731
5549923,0,0.016269686,3200987
19889,0,3.59E-05,3201194
52888180,7.50E+07,0.06288546,3201437
23828,0,2.60E-05,3201834
1598,0,2.50E-05,3201868
719556,0,0.006669413,3202053
55956187,0,0.067819465,3202069
36786,0,4.41E-05,3202126
33177694,0,0.057788313,3202256
63172463,3.00E+07,0.073955812,3202308
582787,0,0.000168986,3202353
10403,0,2.60E-05,3202469
739561,0,0.000985346,3202722
